,Feature,MI Score
255,Suburb_Huntingdale,0.0
256,Suburb_Huntly,0.0
257,Suburb_Invermay Park,0.0008072849215150502
258,Suburb_Ironbark,0.005169360463299633
259,Suburb_Irymple,0.0032651225310493803
260,Suburb_Ivanhoe,0.0
261,Suburb_Ivanhoe East,0.014549697220694657
262,Suburb_Jacana,0.0
263,Suburb_Jackass Flat,0.006138021729914289
264,Suburb_Jan Juc,0.003903936408759856
265,Suburb_Kalkallo,0.0011741676498084885
266,Suburb_Kangaroo Flat,0.0
267,Suburb_Kealba,7.322023344524808e-06
268,Suburb_Keilor,0.010996591912247888
269,Suburb_Keilor Downs,0.001653967099459086
270,Suburb_Keilor East,4.119595002238796e-05
271,Suburb_Keilor Park,0.0
272,Suburb_Kennington,0.0
273,Suburb_Kensington,0.016291293439636645
274,Suburb_Kew,0.0016132188204180942
275,Suburb_Kew East,0.0019759975400956975
276,Suburb_Keysborough,0.0
277,Suburb_Kialla,0.006844934023435334
278,Suburb_Killara,0.0
279,Suburb_Kilsyth,0.0
280,Suburb_Kings Park,0.0
281,Suburb_Kingsbury,0.0
282,Suburb_Kingsville,0.001273456376918336
283,Suburb_Kirkstall,0.0026980559699563145
284,Suburb_Knoxfield,0.0
285,Suburb_Kooyong,0.004029752216057725
286,Suburb_Kurunjang,0.0
287,Suburb_Lake Gardens,0.0027779735756139345
288,Suburb_Lake Wendouree,0.006387189275992133
289,Suburb_Lalor,0.005564576987479475
290,Suburb_Langwarrin,0.0
291,Suburb_Lara,0.0010255519806803282
292,Suburb_Laverton,0.004202787780289929
293,Suburb_Learmonth,0.002618109985643491
294,Suburb_Leneva,0.0
295,Suburb_Loch Sport,0.0
296,Suburb_Long Gully,0.0
297,Suburb_Lovely Banks,0.0
298,Suburb_Lower Plenty,0.004429915231699111
299,Suburb_Lucas,0.0
300,Suburb_Lucknow,0.0020990745968760827
301,Suburb_Macleod,0.0
302,Suburb_Maidstone,0.0115931888977292
303,Suburb_Malvern,0.0
304,Suburb_Malvern East,0.000808928748747384
305,Suburb_Mambourin,0.0
306,Suburb_Manifold Heights,0.0
307,Suburb_Manor Lakes,0.008706442714499385
308,Suburb_Manton Road Clayton,0.005275949423564796
309,Suburb_Maribyrnong,0.0
310,Suburb_McCrae,0.0
311,Suburb_McKenzie Hill,0.0
312,Suburb_McKinnon,0.0
313,Suburb_Meadow Heights,0.0024518949559375613
314,Suburb_Melbourne,0.006163306589461737
315,Suburb_Melton,0.0
316,Suburb_Melton South,0.0
317,Suburb_Melton West,0.011692019389946795
318,Suburb_Mentone,0.0
319,Suburb_Mickleham,0.003232153391395709
320,Suburb_Mildura,0.0
321,Suburb_Mill Park,0.0
322,Suburb_Miners Rest,0.0
323,Suburb_Mitcham,0.0
324,Suburb_Moe,0.005481344130116028
325,Suburb_Mont Albert,0.0023443521332262574
326,Suburb_Mont Albert North,0.0
327,Suburb_Montmorency,0.0
328,Suburb_Moonee Ponds,0.002694279184102477
329,Suburb_Moorabbin,0.0
330,Suburb_Mooroolbark,0.0
331,Suburb_Mooroopna,0.0012381762828519438
332,Suburb_Mordialloc,0.0
333,Suburb_Morwell,0.00433124163151577
334,Suburb_Mount Clear,0.005409008421849437
335,Suburb_Mount Duneed,0.0
336,Suburb_Mount Helen,0.0
337,Suburb_Mount Martha,0.0019883331800751858
338,Suburb_Mount Pleasant,0.0
339,Suburb_Mount Waverley,0.0024205225445528278
340,Suburb_Muckleford,0.006843944431545346
341,Suburb_Mulgrave,0.0
342,Suburb_Murrumbeena,0.0
343,Suburb_Nar Nar Goon,0.006716785052622631
344,Suburb_Nar Nar Goon North,0.005180372043663173
345,Suburb_Narre Warren,0.0
346,Suburb_Narre Warren North,0.0
347,Suburb_Narre Warren South,0.0032066048877330555
348,Suburb_Nerrina,0.0
349,Suburb_Newborough,0.004965345314377201
350,Suburb_Newcomb,0.0
351,Suburb_Newington,0.0
352,Suburb_Newport,0.0
353,Suburb_Newtown,0.004580479135391835
354,Suburb_Nichols Point,0.0
355,Suburb_Niddrie,0.007986477620934407
356,Suburb_Noble Park,0.0025150309191128706
357,Suburb_Noble Park North,0.004849092974625879
358,Suburb_Norlane,0.003954176255092978
359,Suburb_North Bendigo,0.0
360,Suburb_North Geelong,0.0027710202677098117
361,Suburb_North Melbourne,0.004663878657317655
362,Suburb_North Shore,0.0
363,Suburb_North Warrandyte,0.004842002241849164
364,Suburb_Northcote,0.0
365,Suburb_Notting Hill,0.0
366,Suburb_Nunawading,0.0
367,Suburb_Oak Park,0.0
368,Suburb_Oakleigh,0.0
369,Suburb_Oakleigh East,0.0
370,Suburb_Oakleigh South,0.005019166464234948
371,Suburb_Ocean Grove,0.001331723384446759
372,Suburb_Officer,0.0
